#{"t_start": 1758872154.0613856, "env_id": "None"}
r,l,t,success,distance
-168.496924,500,5.814484,False,0.30656710267066956
-141.109217,500,8.35928,False,0.21739649772644043
-149.921264,500,10.954793,False,0.3279535472393036
-137.786767,500,13.474092,False,0.3147161602973938
-132.398933,500,16.702994,False,0.2528744041919708
-141.232926,500,19.688225,False,0.1867370456457138
-162.655817,500,22.693659,False,0.39747515320777893
-104.495174,500,25.782919,False,0.2456740140914917
-162.413071,500,29.020394,False,0.251230388879776
-112.221871,500,32.776139,False,0.2009967565536499
-170.102615,500,36.864578,False,0.2847318947315216
-151.086975,500,39.985836,False,0.4144839346408844
-123.920728,500,42.680708,False,0.11901427060365677
-119.450516,500,45.831731,False,0.2749992311000824
-126.431784,500,48.643787,False,0.27380117774009705
-105.872229,500,51.497889,False,0.3036499321460724
-7.496237,101,51.869224,True,0.0485292412340641
-147.075518,500,54.816966,False,0.25745391845703125
-122.859213,500,57.830958,False,0.20007771253585815
-8.640253,89,58.158894,True,0.04848889634013176
-124.642856,500,60.887668,False,0.1845044642686844
-177.808079,500,63.986331,False,0.3718433380126953
-161.694723,500,66.786409,False,0.320498526096344
-155.657566,500,69.629717,False,0.24137325584888458
-102.987604,500,72.801419,False,0.21214202046394348
-111.218858,500,76.127424,False,0.18146832287311554
-94.068103,500,79.005576,False,0.17670461535453796
-98.816521,500,82.100362,False,0.175411656498909
-91.625057,500,84.915389,False,0.19120322167873383
-96.62205,388,87.267049,True,0.04753396660089493
-190.330534,500,90.189624,False,0.35320132970809937
-160.516751,500,99.433593,False,0.10575128346681595
-190.627229,500,102.364433,False,0.4448985755443573
-217.910498,500,105.600345,False,0.4132055640220642
-137.085883,500,108.573345,False,0.24257303774356842
-92.265355,500,111.317155,False,0.09546471387147903
-93.66387,500,114.119852,False,0.10639415681362152
-138.696588,500,117.011295,False,0.23580549657344818
-104.373718,500,119.93797,False,0.24528327584266663
-75.636131,500,122.865327,False,0.15187948942184448
-111.379202,500,125.878781,False,0.15619437396526337
-111.879025,500,128.756959,False,0.24264147877693176
-123.217759,500,131.722969,False,0.34528839588165283
-179.20198,500,135.221699,False,0.2900329530239105
-132.6215,500,138.250705,False,0.09661895781755447
-217.078122,500,141.399527,False,0.4373522698879242
-33.521476,240,142.304572,True,0.049302052706480026
-75.006755,500,145.163488,False,0.11354466527700424
-121.654949,500,148.131545,False,0.25234201550483704
-104.44997,500,151.016423,False,0.20847052335739136
-131.00289,500,154.001446,False,0.19445845484733582
-90.520123,500,157.0173,False,0.094647116959095
-106.35236,500,159.946259,False,0.20937269926071167
4.89529,1,159.955935,True,0.049549560993909836
-168.009911,500,162.861788,False,0.2752254009246826
4.878745,1,162.880984,True,0.03870796412229538
-146.974309,500,165.681062,False,0.2363809198141098
-137.883078,500,168.585743,False,0.26692530512809753
-128.236597,500,171.528607,False,0.26622095704078674
-104.645096,500,174.585158,False,0.1705278605222702
-106.277037,500,177.376602,False,0.1510796695947647
-101.726395,500,180.067872,False,0.12066494673490524
-59.304497,353,181.254989,True,0.04961556941270828
-106.256432,500,184.037009,False,0.10130943357944489
-89.198573,500,193.071428,False,0.12200000137090683
-148.481777,500,196.065644,False,0.2704842686653137
-142.738948,500,199.01609,False,0.11207003146409988
-15.090856,146,200.675255,True,0.04943094030022621
-37.231575,223,201.655488,True,0.049892425537109375
-74.76552,500,204.518898,False,0.11925183981657028
-89.237668,500,207.455373,False,0.18568700551986694
-99.243067,500,210.283592,False,0.14625567197799683
-97.897911,500,213.11748,False,0.12658432126045227
-15.066569,104,213.501211,True,0.048330970108509064
-100.582802,500,216.365495,False,0.10418088734149933
-131.961678,500,219.158694,False,0.16043898463249207
-83.812744,500,222.119216,False,0.10821392387151718
-190.626428,500,225.014256,False,0.3893115222454071
-42.272731,252,226.988085,True,0.04753640666604042
-53.953062,295,228.178121,True,0.04958583042025566
-119.901815,500,231.341656,False,0.256837397813797
-99.616472,500,234.34082,False,0.09613955765962601
-21.699148,183,234.968298,True,0.04972614347934723
-103.626819,500,237.932772,False,0.1989143341779709
-118.735441,500,241.054622,False,0.18231375515460968
-86.647439,500,243.955159,False,0.08167538791894913
-19.050846,160,245.678752,True,0.04979021102190018
-128.760491,500,248.589111,False,0.3180030584335327
-140.45722,500,251.476378,False,0.2925560474395752
-158.365619,500,254.564328,False,0.2568340599536896
-121.140788,500,257.640197,False,0.16389577090740204
-117.686127,500,260.48435,False,0.2854352295398712
-131.66053,500,263.435379,False,0.21396690607070923
-67.137812,357,264.846272,True,0.048970386385917664
-188.67711,500,267.903643,False,0.3606618046760559
-143.372433,500,270.754929,False,0.2547886371612549
-168.76328,500,273.918824,False,0.35130757093429565
-97.557257,500,277.062193,False,0.07655039429664612
-5.512788,74,277.332187,True,0.049601342529058456
-127.93327,500,280.232876,False,0.1874709278345108
-11.79573,110,287.661163,True,0.04949924722313881
-142.698184,500,290.575255,False,0.26029324531555176
-105.876579,500,292.441083,False,0.21226127445697784
-89.777432,500,295.328147,False,0.09931787103414536
-42.753879,213,297.348121,True,0.049677375704050064
-91.251681,500,300.346524,False,0.17090748250484467
-12.812508,102,300.733823,True,0.046238865703344345
-139.193301,500,303.603132,False,0.27698802947998047
2.393727,20,303.668331,True,0.04993128776550293
-130.172042,500,306.493892,False,0.18793290853500366
-158.841156,500,309.417595,False,0.427312970161438
-136.613708,500,312.317257,False,0.18237684667110443
-101.272378,500,315.710377,False,0.1603827029466629
-111.124771,500,319.116813,False,0.11694132536649704
-54.424258,390,322.124926,True,0.048638079315423965
-152.881027,500,325.366967,False,0.3980341851711273
-9.883724,120,325.856934,True,0.04967917874455452
-4.11073,63,326.134991,True,0.04958600923418999
-115.405199,500,329.37455,False,0.17729933559894562
-39.719563,281,331.746674,True,0.04942847788333893
-103.549311,500,335.200356,False,0.12392519414424896
-110.734352,500,338.549294,False,0.07816667854785919
-5.640556,70,338.800621,True,0.04876909404993057
-7.3848,79,339.125207,True,0.04883361980319023
-126.777488,500,342.069851,False,0.24855279922485352
-95.970797,500,345.01817,False,0.10935737937688828
4.931478,1,345.027025,True,0.014232461340725422
-66.478207,380,347.608553,True,0.048958685249090195
-92.767376,500,349.525768,False,0.196046382188797
-143.141845,500,352.784554,False,0.23637966811656952
-136.25955,500,355.78617,False,0.19607535004615784
1.830322,27,356.967303,True,0.04999950900673866
-17.156294,145,357.510616,True,0.04901951178908348
-139.412748,500,360.497101,False,0.3460811972618103
-86.300415,467,363.394369,True,0.049614984542131424
-143.821889,500,366.533025,False,0.24912825226783752
-85.83481,500,369.744172,False,0.1206880658864975
-93.900536,500,372.896512,False,0.16888265311717987
