#{"t_start": 1758272215.211267, "env_id": null}
r,l,t,success,distance
-153.444632,500,1.331786,False,0.2400640845298767
-127.284779,500,1.811543,False,0.14733748137950897
-123.48812,500,2.289971,False,0.1713627725839615
-111.524859,500,2.774526,False,0.19444739818572998
-2.067928,66,2.841913,True,0.04961366951465607
-118.654218,500,6.393926,False,0.21527694165706635
-155.947173,500,29.995746,False,0.26619797945022583
-125.640132,500,53.540239,False,0.20380985736846924
-77.939677,473,76.324945,True,0.049680788069963455
-119.485999,500,100.110556,False,0.11860539019107819
-24.628345,130,106.292209,True,0.04920637607574463
-155.96522,500,130.837856,False,0.24189972877502441
-105.070586,500,154.758918,False,0.15635143220424652
4.797993,2,154.764735,True,0.04673706740140915
-97.745718,500,179.205885,False,0.12766212224960327
-184.447042,500,203.729029,False,0.346474826335907
-133.48554,500,228.828452,False,0.16250941157341003
-19.809295,199,238.297019,True,0.0495486706495285
-84.722976,500,265.191529,False,0.09916306287050247
-8.999102,97,269.885965,True,0.04979462921619415
-110.251242,500,295.338647,False,0.1949356496334076
-159.669188,500,319.774967,False,0.2647460401058197
-125.043873,500,344.228587,False,0.17465393245220184
-10.459907,89,348.968042,True,0.04973422735929489
-16.408019,122,354.458128,True,0.04895509406924248
-114.782553,500,379.605388,False,0.16074654459953308
-78.077798,500,404.102958,False,0.08971098810434341
-44.642143,225,415.126033,True,0.04708991199731827
-7.951109,96,419.887816,True,0.04996441677212715
-97.493214,500,444.8062,False,0.0939381793141365
-101.587275,500,469.186524,False,0.1469055861234665
-125.183893,500,494.403423,False,0.20550300180912018
-127.643431,500,518.906933,False,0.216652974486351
-8.280311,86,522.832496,True,0.04874361678957939
1.089096,26,524.389982,True,0.04766397923231125
-116.326537,500,548.78913,False,0.17989347875118256
-1.48872,35,550.387773,True,0.0484638437628746
1.169236,31,551.924031,True,0.04931959509849548
-2.271668,66,555.031891,True,0.04928965121507645
-3.800623,66,558.883749,True,0.04608098790049553
-95.577851,500,582.929844,False,0.1347440630197525
-10.725152,61,586.031538,True,0.04867645725607872
0.214784,37,587.571128,True,0.049728184938430786
-6.34772,55,590.002848,True,0.045230988413095474
-65.645464,387,609.472196,True,0.04908577725291252
-97.40146,500,635.610978,False,0.12031232565641403
-73.315583,500,660.006022,False,0.09443549811840057
-0.058487,42,662.302724,True,0.048847999423742294
-5.631728,91,666.213829,True,0.04733505845069885
-20.160822,185,675.595952,True,0.04767194762825966
-103.08349,500,699.826112,False,0.14554914832115173
-83.745388,500,723.972133,False,0.1855505108833313
-43.176096,307,739.518397,True,0.04938214272260666
-25.499347,224,750.452933,True,0.049691859632730484
4.218211,6,750.465143,True,0.04944831505417824
-1.363988,53,752.830075,True,0.04920288175344467
-3.711444,57,755.966146,True,0.04912539944052696
-109.173264,500,780.370351,False,0.1505071371793747
-129.124336,500,804.539006,False,0.22897528111934662
-143.914986,500,829.451819,False,0.17990092933177948
-104.022494,389,848.141183,True,0.046267930418252945
-12.810744,89,852.029749,True,0.04772425815463066
4.879799,1,852.792945,True,0.04499807208776474
-19.043979,165,860.618061,True,0.04926231876015663
-4.476151,68,863.744482,True,0.048426393419504166
3.162055,16,864.519637,True,0.04789743945002556
-19.911106,180,873.175981,True,0.048315223306417465
-5.851514,59,876.33871,True,0.04855363816022873
2.851352,17,877.117873,True,0.04792500287294388
-17.139244,118,882.548192,True,0.049410633742809296
-3.726988,60,885.740908,True,0.04995107278227806
-5.13513,65,888.975257,True,0.047965046018362045
1.486387,24,890.520997,True,0.0491112656891346
-7.705378,61,893.751622,True,0.047663066536188126
-33.941673,195,903.100874,True,0.049800463020801544
-52.082456,414,923.409777,True,0.04876091703772545
-96.255461,500,947.590262,False,0.12409299612045288
-8.304947,90,952.264719,True,0.049317169934511185
-6.027755,89,956.153904,True,0.04831933602690697
-5.473663,67,959.258513,True,0.04920404404401779
-166.75535,500,984.239364,False,0.42062947154045105
-100.194746,500,1009.698484,False,0.1460440754890442
-93.249751,500,1034.023115,False,0.1584087312221527
-105.592407,500,1058.19696,False,0.17156875133514404
-8.40335,92,1062.911983,True,0.04958762601017952
-6.73395,48,1065.258061,True,0.04747913032770157
-18.953212,161,1073.126217,True,0.04875199496746063
-112.160373,500,1097.304698,False,0.2015237808227539
-4.36823,79,1101.21053,True,0.04843178018927574
-135.203949,500,1126.148293,False,0.23084188997745514
-23.150775,228,1137.075527,True,0.04913721978664398
-22.269667,103,1141.756323,True,0.047751035541296005
1.630172,25,1143.303197,True,0.048329226672649384
-5.767509,77,1147.217127,True,0.04930216819047928
-1.437685,42,1148.783345,True,0.0486098974943161
-79.023183,500,1173.011011,False,0.08555147796869278
-10.895433,87,1177.654918,True,0.049920789897441864
-16.477243,104,1182.414421,True,0.04779154807329178
-16.648702,108,1187.828921,True,0.0482335202395916
-22.920914,202,1198.079544,True,0.04866747558116913
-5.735366,49,1200.446171,True,0.047189466655254364
3.458255,13,1201.219322,True,0.049227990210056305
-20.355404,117,1206.671566,True,0.04940318688750267
-4.844025,44,1209.013618,True,0.046963416039943695
-14.403371,96,1213.748789,True,0.045305751264095306
-13.389971,92,1217.665939,True,0.04994279518723488
-13.541131,107,1223.124141,True,0.04858514666557312
-35.781886,297,1237.89308,True,0.048594579100608826
-7.598656,73,1241.024225,True,0.04777023568749428
-8.085718,75,1244.922009,True,0.04967062175273895
-4.633396,62,1248.030741,True,0.04924498870968819
-16.34003,80,1251.900919,True,0.04890058934688568
2.854976,14,1252.677153,True,0.0468255989253521
-0.562119,40,1254.281555,True,0.04978783056139946
-7.711662,79,1258.14824,True,0.04848046600818634
-5.977863,58,1261.249027,True,0.04997586831450462
-11.880922,81,1265.337239,True,0.04804825410246849
-48.008799,396,1287.13633,True,0.04969235882163048
-8.988492,83,1291.041386,True,0.049326341599226
-0.492567,37,1292.61367,True,0.0487145334482193
-7.648169,97,1297.380306,True,0.04973122477531433
-13.364916,79,1301.293547,True,0.04882671684026718
-12.723189,119,1307.574623,True,0.0494035966694355
-133.039394,500,1332.154196,False,0.21833853423595428
-10.507347,64,1335.269919,True,0.04730808362364769
3.74765,11,1335.289215,True,0.04964834079146385
-23.95254,187,1344.648302,True,0.04967532679438591
-0.807844,44,1347.010117,True,0.04929359257221222
-14.608184,120,1352.473706,True,0.048757221549749374
-16.852738,113,1358.385152,True,0.046539753675460815
-11.706656,75,1362.246678,True,0.04965147003531456
-18.928575,146,1369.373258,True,0.04994167760014534
-40.622842,139,1376.394051,True,0.04809659719467163
-9.829974,87,1380.439643,True,0.04924219101667404
-2.734681,53,1383.538427,True,0.04943794757127762
2.036356,25,1384.329601,True,0.048733361065387726
2.799367,17,1385.146025,True,0.04975702241063118
-6.759208,65,1388.30645,True,0.04934009537100792
4.068933,8,1389.129556,True,0.049390729516744614
1.525946,26,1391.599348,True,0.04990768060088158
0.398424,34,1393.196645,True,0.04834704101085663
-50.613136,500,1417.661786,True,0.04994005337357521
-1.738644,44,1419.976583,True,0.0484086237847805
4.882625,1,1419.981388,True,0.04549379646778107
0.924339,30,1421.54518,True,0.049402229487895966
-5.60168,71,1424.718487,True,0.04997517168521881
2.492127,18,1425.501231,True,0.049989379942417145
1.001773,33,1427.055429,True,0.049618180841207504
2.496668,19,1427.847346,True,0.04876834899187088
-1.989726,41,1430.188053,True,0.04859774932265282
