epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5438,1.38203,1.59849,1.49462,0.9875,0.5,0.5035,0.25293,1.59638,3.84312,1.54995,0.0671381,0.000331939,0.000331939
2,108.503,1.32484,1.26966,1.44226,0.96199,0.5,0.50714,0.30448,2.01063,2.83629,2.10566,0.0341315,0.000658686,0.000658686
3,151.241,1.29998,1.20889,1.42228,0.72357,0.75,0.71107,0.40109,1.29869,1.89072,1.2804,0.0011183,0.000978833,0.000978833
4,195.202,1.31916,1.19686,1.44045,0.93485,0.75,0.74959,0.43124,1.78391,1.94552,1.61528,0.0009703,0.0009703,0.0009703
5,237.997,1.24339,1.07013,1.37517,0.65248,0.5,0.4636,0.36183,1.46521,2.61827,1.47481,0.0009604,0.0009604,0.0009604
6,282.304,1.2195,1.02983,1.36043,0.97329,0.5,0.50199,0.22314,1.50534,2.44043,1.51593,0.0009505,0.0009505,0.0009505
7,327.066,1.17463,0.94711,1.3258,0.64752,0.75,0.84917,0.4548,1.63101,1.15795,1.46307,0.0009406,0.0009406,0.0009406
8,370.425,1.15721,0.92126,1.3133,1,0.73736,0.845,0.60447,1.14061,1.29391,1.26035,0.0009307,0.0009307,0.0009307
9,414.213,1.16389,0.9036,1.31387,0.9801,0.5,0.65786,0.41857,1.45038,2.00528,1.30687,0.0009208,0.0009208,0.0009208
10,457.569,1.12183,0.85377,1.29151,0.9589,0.75,0.8075,0.5351,1.27941,1.13206,1.25832,0.0009109,0.0009109,0.0009109
11,505.675,1.10695,0.83209,1.27912,0.97568,0.5,0.71722,0.42974,1.46483,2.02236,1.36726,0.000901,0.000901,0.000901
12,553.58,1.1003,0.82227,1.27194,1,0.74847,0.7645,0.43315,1.55709,1.5728,1.42107,0.0008911,0.0008911,0.0008911
13,599.976,1.08511,0.80295,1.26473,0.98298,0.75,0.75209,0.51118,1.41746,1.36797,1.39671,0.0008812,0.0008812,0.0008812
14,645.742,1.06217,0.76115,1.24652,0.96818,0.5,0.66794,0.42237,1.45068,2.09827,1.48313,0.0008713,0.0008713,0.0008713
15,691.928,1.05566,0.75425,1.24809,0.98041,0.5,0.66553,0.43363,1.12663,2.06225,1.16342,0.0008614,0.0008614,0.0008614
16,738.841,1.04331,0.74956,1.23597,0.99933,0.75,0.82192,0.5236,1.35987,1.3605,1.31584,0.0008515,0.0008515,0.0008515
17,788.32,1.02811,0.71474,1.23023,0.98585,0.75,0.76667,0.44789,1.58498,1.41119,1.5126,0.0008416,0.0008416,0.0008416
18,834.508,1.01188,0.72061,1.21838,0.73873,0.71618,0.70068,0.43587,1.50849,1.67973,1.35531,0.0008317,0.0008317,0.0008317
19,880.425,1.01357,0.70423,1.20821,0.97564,0.5,0.695,0.48257,1.22689,1.761,1.22229,0.0008218,0.0008218,0.0008218
20,927.509,1.01216,0.69814,1.20796,1,0.73421,0.88786,0.58094,1.4046,1.37333,1.21179,0.0008119,0.0008119,0.0008119
21,975.632,0.99013,0.6729,1.20561,1,0.79725,0.995,0.52382,1.5042,1.33944,1.32202,0.000802,0.000802,0.000802
22,1023.43,0.99128,0.6602,1.19462,0.68645,0.75,0.84917,0.59126,1.13087,1.47691,1.13283,0.0007921,0.0007921,0.0007921
23,1072.14,0.98356,0.65643,1.19349,0.74289,0.75,0.84917,0.57776,1.16473,0.99436,1.14936,0.0007822,0.0007822,0.0007822
24,1123.82,0.98036,0.66338,1.19637,1,0.73564,0.87,0.57,1.35296,1.64075,1.21429,0.0007723,0.0007723,0.0007723
25,1175.06,0.96726,0.64972,1.18257,0.95538,0.5,0.75611,0.48924,1.18381,0.96723,1.19005,0.0007624,0.0007624,0.0007624
26,1223.33,0.97891,0.66769,1.19382,1,0.73167,0.88786,0.55896,1.36786,1.33994,1.2293,0.0007525,0.0007525,0.0007525
27,1270.71,0.9572,0.64099,1.1822,0.9788,0.5,0.82536,0.51015,1.43821,1.71671,1.25855,0.0007426,0.0007426,0.0007426
28,1315.45,0.9523,0.62579,1.1752,0.97842,0.5,0.82536,0.53778,1.34706,2.27447,1.24368,0.0007327,0.0007327,0.0007327
29,1360.33,0.93227,0.61806,1.16766,0.97926,0.5,0.73821,0.55141,1.41386,1.76324,1.27353,0.0007228,0.0007228,0.0007228
30,1406.99,0.93822,0.61295,1.16359,1,0.74005,0.79375,0.515,1.52398,1.61428,1.32373,0.0007129,0.0007129,0.0007129
31,1459.58,0.93308,0.61029,1.16578,1,0.73658,0.85611,0.59317,1.24364,1.79899,1.23672,0.000703,0.000703,0.000703
32,1514.62,0.91542,0.59344,1.15378,0.73965,0.71895,0.84917,0.53067,1.29295,2.02615,1.30296,0.0006931,0.0006931,0.0006931
33,1567.35,0.90411,0.58546,1.15061,1,0.72894,0.81167,0.55142,1.40266,1.23231,1.27256,0.0006832,0.0006832,0.0006832
34,1625.74,0.91392,0.5773,1.15259,1,0.74645,0.81,0.554,1.57131,1.69899,1.38615,0.0006733,0.0006733,0.0006733
