epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.058,2.14457,14.1176,2.58459,0.69713,0.01368,0.01903,0.00612,2.36374,16.2234,2.85745,0.0674246,0.000664804,0.000664804
2,189.482,1.90132,12.9848,2.33368,0.0016,0.46658,0.01234,0.00254,2.96823,18.7158,3.33015,0.0347316,0.00130511,0.00130511
3,273.559,1.87684,12.9825,2.31834,0.35105,0.0168,0.00613,0.00182,2.56692,18.9658,2.99156,0.00201212,0.00191901,0.00191901
4,360.452,1.83458,12.9129,2.27863,0.04873,0.02267,0.01298,0.00402,2.58844,16.7693,3.06258,0.0018812,0.0018812,0.0018812
5,447.381,1.81305,12.8603,2.27225,0.02099,0.0551,0.00826,0.0022,2.39108,17.1611,2.9166,0.0018416,0.0018416,0.0018416
6,530.818,1.81219,12.9017,2.2646,0.3649,0.02501,0.00954,0.00272,2.52399,15.8631,2.95145,0.001802,0.001802,0.001802
7,617.531,1.78018,12.8553,2.21984,0.70192,0.01524,0.01385,0.00422,2.67863,15.4515,3.02694,0.0017624,0.0017624,0.0017624
8,703.694,1.76895,12.7682,2.21085,0.36361,0.01602,0.00982,0.00253,2.51764,17.491,2.97786,0.0017228,0.0017228,0.0017228
9,789.953,1.75609,12.767,2.20403,0.03975,0.01641,0.00886,0.00242,2.85103,17.5389,3.16369,0.0016832,0.0016832,0.0016832
10,875.722,1.75096,12.8047,2.19539,0.35907,0.02071,0.00743,0.00215,2.5302,16.9102,2.95834,0.0016436,0.0016436,0.0016436
11,962.727,1.71758,12.7372,2.16416,0.01282,0.0168,0.00652,0.00204,2.70073,16.3877,3.03133,0.001604,0.001604,0.001604
12,1049.59,1.73384,12.7474,2.17915,0.69735,0.0168,0.00653,0.00177,2.53338,17.6475,2.98043,0.0015644,0.0015644,0.0015644
13,1135.72,1.7289,12.7873,2.17112,0.35778,0.01602,0.00586,0.00146,2.81128,18.4321,3.05383,0.0015248,0.0015248,0.0015248
14,1220.45,1.6916,12.6385,2.13729,0.02904,0.02188,0.01098,0.00269,2.54433,16.3821,2.95134,0.0014852,0.0014852,0.0014852
15,1306.07,1.69026,12.6748,2.13224,0.34764,0.02267,0.00721,0.00173,2.62648,15.7968,2.9309,0.0014456,0.0014456,0.0014456
16,1389.79,1.68604,12.696,2.12727,0.3547,0.01719,0.00848,0.00256,2.61841,16.8169,2.9287,0.001406,0.001406,0.001406
17,1476.57,1.69781,12.6133,2.14273,0.025,0.01641,0.00517,0.00141,2.75438,16.915,3.11178,0.0013664,0.0013664,0.0013664
18,1562.37,1.70476,12.6968,2.12664,0.70384,0.01993,0.01073,0.00307,2.6896,15.7431,3.01491,0.0013268,0.0013268,0.0013268
19,1648.66,1.68792,12.6916,2.12691,0.70191,0.01876,0.01063,0.00306,2.52482,16.5886,2.9987,0.0012872,0.0012872,0.0012872
20,1733.8,1.65461,12.6284,2.1046,0.01279,0.02188,0.00765,0.00199,2.55382,17.5786,3.03923,0.0012476,0.0012476,0.0012476
21,1817.97,1.66126,12.6443,2.11675,0.35727,0.0168,0.0097,0.00228,2.40298,17.283,2.88979,0.001208,0.001208,0.001208
22,1901.57,1.65716,12.6519,2.10728,0.35765,0.01602,0.00674,0.00182,2.4943,19.2512,2.9028,0.0011684,0.0011684,0.0011684
23,1985.16,1.64623,12.6884,2.09498,0.70282,0.01563,0.00623,0.0016,2.53096,17.8989,2.9774,0.0011288,0.0011288,0.0011288
24,2072.28,1.67013,12.6986,2.10459,0.3512,0.01602,0.00848,0.00202,2.37325,16.5031,2.83061,0.0010892,0.0010892,0.0010892
25,2158.73,1.66534,12.7219,2.09207,0.69561,0.01602,0.00816,0.00198,2.51326,16.2243,2.96128,0.0010496,0.0010496,0.0010496
26,2244.78,1.62942,12.7051,2.07312,0.70304,0.01602,0.00754,0.00184,2.5884,16.4169,2.99318,0.00101,0.00101,0.00101
